"week","alerts","city"
"2020-05-10T00:00:00.000Z",7,"mumbai"
"2020-05-17T00:00:00.000Z",10,"mumbai"
"2020-05-24T00:00:00.000Z",14,"mumbai"
"2020-05-31T00:00:00.000Z",3,"mumbai"
"2020-06-07T00:00:00.000Z",9,"mumbai"
"2020-06-14T00:00:00.000Z",7,"mumbai"
"2020-06-21T00:00:00.000Z",14,"mumbai"
"2020-06-28T00:00:00.000Z",12,"mumbai"
"2020-07-05T00:00:00.000Z",16,"mumbai"
"2020-07-12T00:00:00.000Z",20,"mumbai"
"2020-07-19T00:00:00.000Z",12,"mumbai"
"2020-07-26T00:00:00.000Z",10,"mumbai"
"2020-08-02T00:00:00.000Z",29,"mumbai"
"2020-08-09T00:00:00.000Z",26,"mumbai"
"2020-08-16T00:00:00.000Z",23,"mumbai"
"2020-08-23T00:00:00.000Z",42,"mumbai"
"2020-08-30T00:00:00.000Z",26,"mumbai"
"2020-09-06T00:00:00.000Z",16,"mumbai"
"2020-09-13T00:00:00.000Z",36,"mumbai"
"2020-09-20T00:00:00.000Z",31,"mumbai"
"2020-09-27T00:00:00.000Z",56,"mumbai"
"2020-10-04T00:00:00.000Z",35,"mumbai"
"2020-10-11T00:00:00.000Z",67,"mumbai"
"2020-10-18T00:00:00.000Z",63,"mumbai"
"2020-10-25T00:00:00.000Z",76,"mumbai"
"2020-11-01T00:00:00.000Z",90,"mumbai"
"2020-11-08T00:00:00.000Z",42,"mumbai"
"2020-11-15T00:00:00.000Z",59,"mumbai"
"2020-11-22T00:00:00.000Z",61,"mumbai"
"2020-11-29T00:00:00.000Z",87,"mumbai"
"2020-12-06T00:00:00.000Z",91,"mumbai"
"2020-12-13T00:00:00.000Z",75,"mumbai"
"2020-12-20T00:00:00.000Z",73,"mumbai"
"2020-12-27T00:00:00.000Z",101,"mumbai"
"2021-01-03T00:00:00.000Z",109,"mumbai"
"2021-01-10T00:00:00.000Z",70,"mumbai"
"2021-01-17T00:00:00.000Z",56,"mumbai"
"2021-01-24T00:00:00.000Z",174,"mumbai"
"2021-01-31T00:00:00.000Z",88,"mumbai"
"2021-02-07T00:00:00.000Z",71,"mumbai"
"2021-02-14T00:00:00.000Z",61,"mumbai"
