"iso","country","variable","value","source"
"DMA","Dominica","SDG 6.4.2. Water Stress (%)",10,"FAO Aquastat"
"BDI","Burundi","SDG 6.4.2. Water Stress (%)",10.1928675,"FAO Aquastat"
"ARG","Argentina","SDG 6.4.2. Water Stress (%)",10.4566641,"FAO Aquastat"
"NER","Niger","SDG 6.4.2. Water Stress (%)",11.0209377,"FAO Aquastat"
"ERI","Eritrea","SDG 6.4.2. Water Stress (%)",11.1751152,"FAO Aquastat"
"MDG","Madagascar","SDG 6.4.2. Water Stress (%)",11.2615063,"FAO Aquastat"
"UKR","Ukraine","SDG 6.4.2. Water Stress (%)",12.2557657,"FAO Aquastat"
"PRT","Portugal","SDG 6.4.2. Water Stress (%)",12.3157123,"FAO Aquastat"
"JAM","Jamaica","SDG 6.4.2. Water Stress (%)",12.4734362,"FAO Aquastat"
"MDA","Republic of Moldova","SDG 6.4.2. Water Stress (%)",12.5631126,"FAO Aquastat"
"TZA","United Republic of Tanzania","SDG 6.4.2. Water Stress (%)",12.9632408,"FAO Aquastat"
"MRT","Mauritania","SDG 6.4.2. Water Stress (%)",13.2462173,"FAO Aquastat"
"HTI","Haiti","SDG 6.4.2. Water Stress (%)",13.3837918,"FAO Aquastat"
"LCA","Saint Lucia","SDG 6.4.2. Water Stress (%)",14.3,"FAO Aquastat"
"GBR","United Kingdom of Great Britain and Northern Ireland","SDG 6.4.2. Water Stress (%)",14.3546462,"FAO Aquastat"
"MDV","Maldives","SDG 6.4.2. Water Stress (%)",15.6666667,"FAO Aquastat"
"SEN","Senegal","SDG 6.4.2. Water Stress (%)",16.2764487,"FAO Aquastat"
"NLD","Netherlands (Kingdom of the)","SDG 6.4.2. Water Stress (%)",16.8035606,"FAO Aquastat"
"MWI","Malawi","SDG 6.4.2. Water Stress (%)",17.5048381,"FAO Aquastat"
"VNM","Viet Nam","SDG 6.4.2. Water Stress (%)",18.1303154,"FAO Aquastat"
"PRI","Puerto Rico","SDG 6.4.2. Water Stress (%)",19.5356106,"FAO Aquastat"
"RWA","Rwanda","SDG 6.4.2. Water Stress (%)",20.1986755,"FAO Aquastat"
"TTO","Trinidad and Tobago","SDG 6.4.2. Water Stress (%)",20.3264813,"FAO Aquastat"
"GRC","Greece","SDG 6.4.2. Water Stress (%)",20.4774428,"FAO Aquastat"
"CZE","Czechia","SDG 6.4.2. Water Stress (%)",20.7725061,"FAO Aquastat"
"IRL","Ireland","SDG 6.4.2. Water Stress (%)",21.6404494,"FAO Aquastat"
"MUS","Mauritius","SDG 6.4.2. Water Stress (%)",22.0647037,"FAO Aquastat"
"FRA","France","SDG 6.4.2. Water Stress (%)",22.9992818,"FAO Aquastat"
"THA","Thailand","SDG 6.4.2. Water Stress (%)",23.0139352,"FAO Aquastat"
"CUB","Cuba","SDG 6.4.2. Water Stress (%)",23.9394461,"FAO Aquastat"
"SOM","Somalia","SDG 6.4.2. Water Stress (%)",24.5277406,"FAO Aquastat"
"PHL","Philippines","SDG 6.4.2. Water Stress (%)",26.2510385,"FAO Aquastat"
"DNK","Denmark","SDG 6.4.2. Water Stress (%)",26.4042726,"FAO Aquastat"
"PRK","Democratic People's Republic of Korea","SDG 6.4.2. Water Stress (%)",27.7404678,"FAO Aquastat"
"USA","United States of America","SDG 6.4.2. Water Stress (%)",28.1619843,"FAO Aquastat"
"TLS","Timor-Leste","SDG 6.4.2. Water Stress (%)",28.2682103,"FAO Aquastat"
"ITA","Italy","SDG 6.4.2. Water Stress (%)",29.6457838,"FAO Aquastat"
"IDN","Indonesia","SDG 6.4.2. Water Stress (%)",29.6965453,"FAO Aquastat"
"POL","Poland","SDG 6.4.2. Water Stress (%)",30,"FAO Aquastat"
"ETH","Ethiopia","SDG 6.4.2. Water Stress (%)",32.2571865,"FAO Aquastat"
"KEN","Kenya","SDG 6.4.2. Water Stress (%)",33.2399011,"FAO Aquastat"
"DEU","Germany","SDG 6.4.2. Water Stress (%)",33.5019189,"FAO Aquastat"
"KAZ","Kazakhstan","SDG 6.4.2. Water Stress (%)",34.0984743,"FAO Aquastat"
"ZWE","Zimbabwe","SDG 6.4.2. Water Stress (%)",35.4053854,"FAO Aquastat"
"JPN","Japan","SDG 6.4.2. Water Stress (%)",36.045977,"FAO Aquastat"
"BGR","Bulgaria","SDG 6.4.2. Water Stress (%)",37.5194028,"FAO Aquastat"
"CYP","Cyprus","SDG 6.4.2. Water Stress (%)",37.5888464,"FAO Aquastat"
"MKD","North Macedonia","SDG 6.4.2. Water Stress (%)",38.7023233,"FAO Aquastat"
"DOM","Dominican Republic","SDG 6.4.2. Water Stress (%)",39.5533141,"FAO Aquastat"
"CHN","China","SDG 6.4.2. Water Stress (%)",41.5185288,"FAO Aquastat"
"ESP","Spain","SDG 6.4.2. Water Stress (%)",43.2540392,"FAO Aquastat"
