"iso3c","year","percap_waste"
"KEN",2020,146
"KEN",2030,167
"KEN",2040,195
"KEN",2050,237
"BFA",2020,146
"BFA",2030,159
"BFA",2040,179
"BFA",2050,211
"IND",2020,145
"IND",2030,177
"IND",2040,213
"IND",2050,253
"MMR",2020,140
"MMR",2030,162
"MMR",2040,184
"MMR",2050,208
"GNQ",2020,138
"GNQ",2030,149
"GNQ",2040,161
"GNQ",2050,174
"STP",2020,137
"STP",2030,155
"STP",2040,178
"STP",2050,211
"BEN",2020,135
"BEN",2030,148
"BEN",2040,168
"BEN",2050,201
"PNG",2020,135
"PNG",2030,153
"PNG",2040,179
"PNG",2050,217
"MRT",2020,134
"MRT",2030,153
"MRT",2040,179
"MRT",2050,217
"VNM",2020,133
"VNM",2030,165
"VNM",2040,200
"VNM",2050,239
"LKA",2020,132
"LKA",2030,167
"LKA",2040,202
"LKA",2050,235
"MLI",2020,124
"MLI",2030,136
"MLI",2040,155
"MLI",2050,186
"BWA",2020,120
"BWA",2030,139
"BWA",2040,154
"BWA",2050,170
"COM",2020,118
"COM",2030,134
"COM",2040,160
"COM",2050,200
"SLE",2020,118
"SLE",2030,127
"SLE",2040,142
"SLE",2050,167
"TKM",2020,114
"TKM",2030,155
"TKM",2040,187
"TKM",2050,205
"ZWE",2020,114
"ZWE",2030,129
"ZWE",2040,161
"ZWE",2050,220
"TCD",2020,113
"TCD",2030,119
"TCD",2040,131
"TCD",2050,150
"BGD",2020,107
"BGD",2030,128
"BGD",2040,154
"BGD",2050,186
"MOZ",2020,93
"MOZ",2030,100
"MOZ",2040,109
"MOZ",2050,125
"GIN",2020,81
"GIN",2030,100
"GIN",2040,127
"GIN",2050,164
"MWI",2020,79
"MWI",2030,83
"MWI",2040,89
"MWI",2050,99
"KHM",2020,78
"KHM",2030,92
"KHM",2040,108
"KHM",2050,129
"SDN",2020,73
"SDN",2030,81
"SDN",2040,94
"SDN",2050,112
"ETH",2020,68
"ETH",2030,75
"ETH",2040,86
"ETH",2050,103
"NPL",2020,64
"NPL",2030,71
"NPL",2040,83
"NPL",2050,100
"LAO",2020,58
"LAO",2030,72
"LAO",2040,87
"LAO",2050,105
"TLS",2020,52
"TLS",2030,61
"TLS",2040,73
"TLS",2050,90
"LSO",2020,40
"LSO",2030,44
"LSO",2040,51
"LSO",2050,62
"SXM",2020,
"SXM",2030,
"SXM",2040,
"SXM",2050,
"TCA",2020,
"TCA",2030,
"TCA",2040,
"TCA",2050,
