"country_code","country_name","CoCA","CoNA","CoRD","CoRD_f","CoRD_v","CoRD_ss","CoRD_asf","CoRD_lns","CoRD_of","CoCA_headcount","CoNA_headcount","CoRD_headcount","CoCA_unafford_n","CoNA_unafford_n","CoRD_unafford_n","gdp"
"ESP","Spain",0.438,1.752,2.699,0.796,0.739,0.278,0.623,0.211,0.053,0.5,1.1,1.9,0.2,0.5,0.9,39528.93
"EST","Estonia",0.418,2.554,3.125,0.742,0.542,0.333,0.752,0.671,0.085,0.2,0.7,1,0,0,0,33821.93
"ETH","Ethiopia",0.721,2.004,3.108,0.777,0.545,0.444,0.882,0.271,0.189,10.3,69.9,88.3,10.9,74.4,94,2021.563
"FIN","Finland",0.28,2.465,2.545,0.597,0.727,0.195,0.543,0.407,0.077,0.1,0.1,0.1,0,0,0,47570.13
"FJI","Fiji",0.849,2.558,3.612,0.914,0.795,0.516,1.001,0.198,0.187,0.3,26.9,51.5,0,0.2,0.5,13429.3
"FRA","France",0.315,1.874,2.936,0.859,0.848,0.246,0.64,0.277,0.066,0,0,0.1,0,0,0,44577.06
"GAB","Gabon",0.956,2.57,3.358,0.568,1.174,0.553,0.735,0.221,0.106,2.4,23.3,36,0.1,0.5,0.7,15006.84
"GBR","United Kingdom",0.263,1.526,1.822,0.533,0.399,0.147,0.494,0.195,0.053,0.1,0.4,0.5,0.1,0.3,0.3,46372.39
"GHA","Ghana",0.824,2.516,3.767,0.395,1.263,0.552,1.235,0.172,0.15,7.7,43.2,64.4,2.2,12.6,18.8,5115.907
"GIN","Guinea",0.904,2.215,3.655,0.453,1.781,0.495,0.559,0.188,0.179,16.3,75.8,94.3,2,9.1,11.4,2417.804
"GMB","Gambia, The",0.983,2.529,2.942,0.659,0.897,0.49,0.589,0.141,0.165,7.5,58.9,69.2,0.2,1.3,1.5,2072.647
"GNB","Guinea-Bissau",0.925,1.857,3.164,0.528,1.277,0.576,0.569,0.069,0.146,22.6,64.6,87.4,0.4,1.2,1.6,1925.238
"GNQ","Equatorial Guinea",0.768,1.865,3.526,0.593,1.152,0.623,0.804,0.234,0.119,,,,,,,22550.96
"GRC","Greece",0.672,2.557,3.037,0.581,0.742,0.41,0.797,0.41,0.096,0.5,2.9,4.3,0.1,0.3,0.5,28604.86
"GRD","Grenada",1.328,3.767,5.382,1.207,1.189,0.781,1.335,0.69,0.18,,,,,,,16217.5
"GUY","Guyana",0.727,3.606,4.629,1.282,1.117,0.509,0.922,0.666,0.132,4.6,34.2,47.8,0,0.3,0.4,12005.41
"HKG","Hong Kong SAR, China",0.908,2.316,3.659,0.675,0.742,0.745,1.034,0.304,0.16,,,,,,,59842.21
