"SUM of val","","sex_name"
"iso3c",,"f"
"ARG",,4.793473603
"ARG",,3.034456344
"ARG",,714.0753155
"ARG",,45.73930209
"ARG",,34.73796126
"ARG",,26.17485579
"ARG",,53.56486703
"ARG",,35.96127335
"ARG",,43.23780762
"ARG",,76.99711432
"ARG",,1.3100923
"ARG",,63.49777733
"ARG",,92.87063111
"ARG",,617.3444155
"ARG",,272.1268786
"ARG",,0
"ARG",,2.02495818
"ARG",,0
"ARG",,1.186419922
"ARG",,0.008614189689
"ARG",,0
"ARG",,0.005116191396
"ARG",,0.01335652076
"ARG",,28.58771306
"ARG",,16.15665608
"ARG",,207.3711698
"ARG",,129.7957173
"ARM",,3.354258611
"ARM",,3.216708285
"ARM",,0.5109082412
"ARM",,0.007900952063
"ARM",,9.877046638
"ARM",,0.01168376152
"ARM",,0.0002079791127
"ARM",,0.4391874691
"ARM",,1.546858917
"ARM",,0.0007355524911
"ARM",,0.000745247809
"ARM",,0.005831647751
"ARM",,0.0008272127296
"ARM",,0.003012789557
"ARM",,0
"ARM",,0
"ARM",,0.2082074863
"ARM",,0
"ARM",,0
"ARM",,0
"ARM",,0.01044085541
"ARM",,0
"ARM",,0
"ARM",,0.0001750211735
"ARM",,0.0008872877377
"ARM",,0.004620370923
"ARM",,8.016544499
"ARM",,0.273470701
"ARM",,0.3722922246
"ARM",,0.5443730945
"ARM",,0.1335380332
"ARM",,0.3107274719
"ARM",,0.7372598546
"ARM",,13.05389944
"ARM",,5.224399142
"ARM",,0.7066617477
"ARM",,17.12539464
"ARM",,75.18146795
"ARM",,32.31506521
"ARM",,6.389773735
"ARM",,
"ARM",,17.21264221
"ARM",,1.039751122
"ARM",,0.3018499694
"ARM",,0.1899083263
"ARM",,1.126289434
"ARM",,5.997922157
"ARM",,1.361580402
"ARM",,0.6993874147
"ARM",,14.06219638
"ARM",,
"ARM",,2.004462514
"ARM",,0.9034651121
"ARM",,16.80401963
"ARM",,0.6746903687
"ARM",,3.72195001
"ARM",,0.9277519792
"ARM",,3.801899482
"ARM",,1.139150866
"ARM",,14.35824825
"ARM",,0.1258954357
"ARM",,8.695666982
"ARM",,35.65588309
"ARM",,19.51182546
"ARM",,0.9593065097
"ARM",,3.348410811
"ARM",,0.1865508923
"ARM",,2.828394144
"ARM",,0.02861173576
"ARM",,0.3827531288
"ARM",,0.3974434662
"ARM",,3.81344172
"ARM",,0.0009911832863
"ARM",,0.4311018003
"ARM",,1.824072285
"ARM",,0.1680320584
"ARM",,17.57684459
"ARM",,0.7077963891
"ARM",,1.419046279
"ARM",,0.1258680006
"ARM",,0.9387789483
"ARM",,1.477202748
"ARM",,3.207684191
"ARM",,1.225946027
"ARM",,0.487150099
"ARM",,0.7928438323
"ARM",,0.1280702308
"ARM",,3.929183489
"ARM",,1.45121602
"ARM",,0.1204419836
"ARM",,1.363414078
"ARM",,6.070264793
"ARM",,0.7654044031
"ARM",,0.06900319668
"ARM",,16.44345026
"ARM",,0.002087546204
"ARM",,10.40201486
"ARM",,9.676708603
"ARM",,0.8940002389
"ARM",,0.7684031715
"ARM",,3.591594187
"ARM",,0.3330092597
"ARM",,1.621107005
"ARM",,5.448290673
"ARM",,0.03579207193
"ARM",,0.03017219036
"ARM",,16.22487754
"ARM",,0.5952149752
"ARM",,3.713758148
"ARM",,1.837882422
"ARM",,2.684622735
"ARM",,1.47923618
"ARM",,0.8281186781
"ARM",,0.5882184109
"ARM",,0.2315303452
"ARM",,2.998521532
"ARM",,1.122640368
"ARM",,17.23116726
"ARM",,12.77248476
"ARM",,0
"ARM",,2.044706453
"ARM",,0
"ARM",,0.074334648
"ARM",,0
"ARM",,0
"ARM",,0.0008709622761
"ARM",,0.0001298936011
"ARM",,0.3493378887
"ARM",,2.750154667
"ARM",,15.99254084
"ARM",,3.105256249
"ASM",,0.06246498586
"ASM",,0.1783541134
"ASM",,0.0998544917
"ASM",,0.000597116049
"ASM",,0.7645698098
"ASM",,0.0000435
"ASM",,0.00000541
"ASM",,0.08610066809
"ASM",,0.04178411551
"ASM",,0.0003038219923
"ASM",,0.005366979456
"ASM",,0.001339596169
"ASM",,0.011263212
"ASM",,0.00337622818
"ASM",,0
"ASM",,0
"ASM",,0
"ASM",,0
"ASM",,0
"ASM",,0.000393635487
"ASM",,0.0008928853017
"ASM",,0.07637169576
"ASM",,0
"ASM",,0.0001826286208
"ASM",,0
"ASM",,0.001682499099
"ASM",,0.8604730267
"ASM",,0.04400668729
"ASM",,0.001453284847
"ASM",,0.01050605539
"ASM",,0.006417068224
"ASM",,0.07284143608
"ASM",,0.01002860158
"ASM",,0.3527019793
"ASM",,0.1590189287
"ASM",,0.002577833571
"ASM",,0.3155561344
"ASM",,1.770123158
"ASM",,0.6481420474
"ASM",,0.310217655
"ASM",,
"ASM",,0.3100577357
"ASM",,0.03338795338
"ASM",,0.04357522925
"ASM",,0.003770085492
"ASM",,0.02721156851
"ASM",,0.06632449112
"ASM",,0.009449495852
"ASM",,0.009412800819
"ASM",,0.4904402005
"ASM",,
"ASM",,0.0139336716
"ASM",,0.03071426035
"ASM",,0.08152399508
"ASM",,0.0218494155
"ASM",,0.004901005634
"ASM",,0.0177366513
"ASM",,0.1787582105
"ASM",,0.01813753053
"ASM",,0.2155792377
"ASM",,0.007183800019
"ASM",,0.5946963651
"ASM",,1.71595618
"ASM",,1.754039881
"ASM",,0.1586168591
"ASM",,0.2521067995
"ASM",,0.05104675528
"ASM",,0.02833781912
"ASM",,0.0003569358027
"ASM",,0.2201362259
"ASM",,0.06647569737
"ASM",,0.4877570457
"ASM",,0.0004096521991
"ASM",,0.3387793554
"ASM",,0.05208808835
"ASM",,0.07149968792
"ASM",,0.5426831426
"ASM",,0.00382376072
"ASM",,0.02662646782
"ASM",,0.003640531069
"ASM",,0.01208618686
"ASM",,0.009424189971
"ASM",,0.07257083414
"ASM",,0.03757519891
"ASM",,0.04347214878
"ASM",,0.01546646896
"ASM",,0.01139098086
"ASM",,0.1611229114
"ASM",,0.008422731103
"ASM",,0.002737537611
"ASM",,0.0238331246
"ASM",,0.00757235153
"ASM",,0.06248093396
"ASM",,0.000127439097
"ASM",,1.716570175
"ASM",,0.0001589602574
"ASM",,1.639623332
"ASM",,0.1803226574
"ASM",,0.02171104687
"ASM",,0.0162947418
