"Iso3_code","Country","Region","Subregion","Indicator","Dimension","Category","Sex","Age","Year","unit","VALUE","Source","region_iso3c","region"
"PRY","Paraguay","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",6.743750114,"OAS/CTS","LCN","Latin America & Caribbean"
"PSE","State of Palestine","Asia","Western Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.9409152282,"UNSDC/NSO/SDG/CTS/NP","MEA","Middle East & North Africa"
"QAT","Qatar","Asia","Western Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.4165133666,"UNSDC/MD/SDG","MEA","Middle East & North Africa"
"ROU","Romania","Europe","Eastern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",1.46067494,"UNSDC/Eurostat/SDG/CTS","ECS","Europe & Central Asia"
"RUS","Russian Federation","Europe","Eastern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",7.330002797,"NSO/GSH Revision/CTS","ECS","Europe & Central Asia"
"SGP","Singapore","Asia","South-eastern Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.1709301489,"GSH Revision/CTS/SDG","EAS","East Asia & Pacific"
"SRB","Serbia","Europe","Southern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",1.018613152,"Eurostat/CTS","ECS","Europe & Central Asia"
"SUR","Suriname","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",9.375522046,"OAS/CTS","LCN","Latin America & Caribbean"
"SVK","Slovakia","Europe","Eastern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",1.153921603,"TransMonEE/UNSDC/SDG/CTS","ECS","Europe & Central Asia"
"SVN","Slovenia","Europe","Southern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.5291178355,"UNSDC/CTS","ECS","Europe & Central Asia"
"SWE","Sweden","Europe","Northern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",1.227811515,"NCCP/CTS","ECS","Europe & Central Asia"
"TJK","Tajikistan","Asia","Central Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.9121751477,"TransMonEE/CTS","ECS","Europe & Central Asia"
"TUN","Tunisia","Africa","Northern Africa","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",4.755209112,"WHO/External","MEA","Middle East & North Africa"
"TUR","Türkiye","Asia","Western Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",2.484020839,"CTS","ECS","Europe & Central Asia"
"UGA","Uganda","Africa","Sub-Saharan Africa","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",9.750552021,"UNSDC/CTS/NP/External","SSF","Sub-Saharan Africa"
"URY","Uruguay","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",9.701395648,"MoI/CTS","LCN","Latin America & Caribbean"
"USA","United States of America","Americas","Northern America","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",6.516564201,"NP/UNSDC/CTS/GSH Revision","NAC","North America"
"VUT","Vanuatu","Oceania","Melanesia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.3255738239,"External","EAS","East Asia & Pacific"
"ZAF","South Africa","Africa","Sub-Saharan Africa","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",33.4622127,"NP/CTS","SSF","Sub-Saharan Africa"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2020,"Rate per 100,000 population",5.605310066,"UNODC estimate based on national data","NA","NA"
