"year","variable","value"
1928,"sim.human.bottom",-0.053731229
1928,"sim.human.top",0.399976313
1928,"sim.natural.mean",0.059883364
1928,"sim.natural.bottom",-0.207340235
1928,"sim.natural.top",0.356497966
1928,"observed",0.091
1929,"sim.human.mean",0.145407194
1929,"sim.human.bottom",-0.065416679
1929,"sim.human.top",0.361190876
1929,"sim.natural.mean",0.043141143
1929,"sim.natural.bottom",-0.213739763
1929,"sim.natural.top",0.309255874
1929,"observed",-0.071
1930,"sim.human.mean",0.160025339
1930,"sim.human.bottom",-0.087199171
1930,"sim.human.top",0.36401324
1930,"sim.natural.mean",0.043179465
1930,"sim.natural.bottom",-0.183768682
1930,"sim.natural.top",0.287356504
1930,"observed",0.136
1931,"sim.human.mean",0.147840642
1931,"sim.human.bottom",-0.056329569
1931,"sim.human.top",0.38776488
1931,"sim.natural.mean",0.060555549
1931,"sim.natural.bottom",-0.176638954
1931,"sim.natural.top",0.266282418
1931,"observed",0.199
1932,"sim.human.mean",0.1375022
1932,"sim.human.bottom",-0.128608189
1932,"sim.human.top",0.411742293
1932,"sim.natural.mean",0.045367338
1932,"sim.natural.bottom",-0.202240368
1932,"sim.natural.top",0.286581884
1932,"observed",0.154
1933,"sim.human.mean",0.136180461
1933,"sim.human.bottom",-0.088357536
1933,"sim.human.top",0.360023636
1933,"sim.natural.mean",0.042471575
1933,"sim.natural.bottom",-0.227791958
1933,"sim.natural.top",0.292036723
1933,"observed",-0.011
1934,"sim.human.mean",0.145452418
1934,"sim.human.bottom",-0.069222892
1934,"sim.human.top",0.361015332
1934,"sim.natural.mean",0.066186689
1934,"sim.natural.bottom",-0.152830092
1934,"sim.natural.top",0.327560119
1934,"observed",0.136
1935,"sim.human.mean",0.160102559
1935,"sim.human.bottom",-0.127494048
1935,"sim.human.top",0.362695288
1935,"sim.natural.mean",0.071356242
1935,"sim.natural.bottom",-0.209139345
1935,"sim.natural.top",0.267147657
1935,"observed",0.089
1936,"sim.human.mean",0.169123855
1936,"sim.human.bottom",-0.160563356
1936,"sim.human.top",0.494591348
1936,"sim.natural.mean",0.098105125
1936,"sim.natural.bottom",-0.133308541
1936,"sim.natural.top",0.366995084
1936,"observed",0.136
1937,"sim.human.mean",0.176265355
1937,"sim.human.bottom",-0.088557853
1937,"sim.human.top",0.424713338
1937,"sim.natural.mean",0.081473144
1937,"sim.natural.bottom",-0.202275838
1937,"sim.natural.top",0.33534428
1937,"observed",0.284
1938,"sim.human.mean",0.202453073
1938,"sim.human.bottom",-0.067620548
1938,"sim.human.top",0.48620468
1938,"sim.natural.mean",0.083217857
1938,"sim.natural.bottom",-0.138608039
1938,"sim.natural.top",0.399977076
1938,"observed",0.286
1939,"sim.human.mean",0.190313754
1939,"sim.human.bottom",-0.012214179
1939,"sim.human.top",0.439430124
1939,"sim.natural.mean",0.081641545
1939,"sim.natural.bottom",-0.149558549
1939,"sim.natural.top",0.35578596
1939,"observed",0.271
1940,"sim.human.mean",0.186755322
1940,"sim.human.bottom",-0.012678346
1940,"sim.human.top",0.428277618
1940,"sim.natural.mean",0.085328506
1940,"sim.natural.bottom",-0.14355261
1940,"sim.natural.top",0.307504102
1940,"observed",0.371
1941,"sim.human.mean",0.191037258
1941,"sim.human.bottom",-0.121333975
1941,"sim.human.top",0.457747073
1941,"sim.natural.mean",0.073502156
1941,"sim.natural.bottom",-0.135462633
1941,"sim.natural.top",0.315343358
1941,"observed",0.356
1942,"sim.human.mean",0.166660078
1942,"sim.human.bottom",-0.051485266
1942,"sim.human.top",0.455907227
1942,"sim.natural.mean",0.065624136
1942,"sim.natural.bottom",-0.161325491
1942,"sim.natural.top",0.327666988
1942,"observed",0.321
1943,"sim.human.mean",0.204380378
1943,"sim.human.bottom",-0.057815364
1943,"sim.human.top",0.479664923
1943,"sim.natural.mean",0.068863538
1943,"sim.natural.bottom",-0.200901811
1943,"sim.natural.top",0.305255322
1943,"observed",0.349
1944,"sim.human.mean",0.217526473
1944,"sim.human.bottom",-0.085111558
1944,"sim.human.top",0.508624312
1944,"sim.natural.mean",0.048945418
1944,"sim.natural.bottom",-0.183706933
1944,"sim.natural.top",0.232631857
1944,"observed",0.471
1945,"sim.human.mean",0.170161543
1945,"sim.human.bottom",-0.076661175
1945,"sim.human.top",0.445598013
1945,"sim.natural.mean",0.089320402
1945,"sim.natural.bottom",-0.121066576
1945,"sim.natural.top",0.270404122
1945,"observed",0.349
1946,"sim.human.mean",0.181754865
1946,"sim.human.bottom",-0.004745907
1946,"sim.human.top",0.465529179
1946,"sim.natural.mean",0.122217181
1946,"sim.natural.bottom",-0.090165209
1946,"sim.natural.top",0.383710327
1946,"observed",0.196
1947,"sim.human.mean",0.196984213
1947,"sim.human.bottom",-0.074029177
1947,"sim.human.top",0.496943855
1947,"sim.natural.mean",0.102767911
1947,"sim.natural.bottom",-0.189112796
1947,"sim.natural.top",0.349405009
1947,"observed",0.241
1948,"sim.human.mean",0.232650977
1948,"sim.human.bottom",-0.028695673
1948,"sim.human.top",0.475293607
1948,"sim.natural.mean",0.083997223
1948,"sim.natural.bottom",-0.24030236
1948,"sim.natural.top",0.370711286
1948,"observed",0.181
1949,"sim.human.mean",0.243089139
1949,"sim.human.bottom",-0.016767164
1949,"sim.human.top",0.484132411
1949,"sim.natural.mean",0.082015363
1949,"sim.natural.bottom",-0.226836634
1949,"sim.natural.top",0.421233825
1949,"observed",0.174
1950,"sim.human.mean",0.228640448
1950,"sim.human.bottom",-0.051768153
1950,"sim.human.top",0.498880502
1950,"sim.natural.mean",0.07254279
1950,"sim.natural.bottom",-0.130672707
1950,"sim.natural.top",0.432629224
1950,"observed",0.096
1951,"sim.human.mean",0.207301659
1951,"sim.human.bottom",-0.038437176
1951,"sim.human.top",0.512234045
1951,"sim.natural.mean",0.080471651
1951,"sim.natural.bottom",-0.183341213
1951,"sim.natural.top",0.370823506
1951,"observed",0.251
1952,"sim.human.mean",0.220490145
1952,"sim.human.bottom",-0.003002975
1952,"sim.human.top",0.534874798
1952,"sim.natural.mean",0.077608585
1952,"sim.natural.bottom",-0.131245538
1952,"sim.natural.top",0.283559732
1952,"observed",0.324
1953,"sim.human.mean",0.20469426
1953,"sim.human.bottom",-0.088457073
1953,"sim.human.top",0.510347044
1953,"sim.natural.mean",0.083974746
1953,"sim.natural.bottom",-0.115103829
1953,"sim.natural.top",0.381830182
1953,"observed",0.389
1954,"sim.human.mean",0.209608562
1954,"sim.human.bottom",-0.096270339
1954,"sim.human.top",0.504099077
1954,"sim.natural.mean",0.079958183
1954,"sim.natural.bottom",-0.108609847
1954,"sim.natural.top",0.317211124
1954,"observed",0.196
1955,"sim.human.mean",0.21381966
1955,"sim.human.bottom",-0.096743935
1955,"sim.human.top",0.480932798
1955,"sim.natural.mean",0.086231531
1955,"sim.natural.bottom",-0.235126455
1955,"sim.natural.top",0.343746736
1955,"observed",0.139
1956,"sim.human.mean",0.192060543
1956,"sim.human.bottom",-0.143739826
1956,"sim.human.top",0.466367045
1956,"sim.natural.mean",0.075649225
1956,"sim.natural.bottom",-0.182216497
1956,"sim.natural.top",0.359291863
1956,"observed",0.076
1957,"sim.human.mean",0.188184435
1957,"sim.human.bottom",-0.141822452
1957,"sim.human.top",0.49672084
1957,"sim.natural.mean",0.09829169
1957,"sim.natural.bottom",-0.104810932
1957,"sim.natural.top",0.379625847
1957,"observed",0.296
1958,"sim.human.mean",0.229221564
1958,"sim.human.bottom",-0.069392946
1958,"sim.human.top",0.581840837
1958,"sim.natural.mean",0.096348246
1958,"sim.natural.bottom",-0.212860636
1958,"sim.natural.top",0.404633471
1958,"observed",0.306
1959,"sim.human.mean",0.250799409
1959,"sim.human.bottom",-0.031393784
1959,"sim.human.top",0.51420866
1959,"sim.natural.mean",0.11835018
1959,"sim.natural.bottom",-0.074234085
1959,"sim.natural.top",0.381624665
1959,"observed",0.286
1960,"sim.human.mean",0.22573043
1960,"sim.human.bottom",-0.119862591
1960,"sim.human.top",0.524451883
1960,"sim.natural.mean",0.128521609
1960,"sim.natural.bottom",-0.126283379
1960,"sim.natural.top",0.390109332
1960,"observed",0.231
1961,"sim.human.mean",0.192931123
1961,"sim.human.bottom",-0.167149971
1961,"sim.human.top",0.462461503
1961,"sim.natural.mean",0.101784664
